Timestamp (s),RR Interval (ms),Event
0.809,604.492,
0.809,629.883,
1.843,583.008,
1.843,594.727,
2.833,606.445,
3.823,598.633,
3.823,575.195,
4.813,587.891,
4.813,613.281,
5.848,596.680,
6.854,594.727,
6.854,641.602,
7.828,675.781,
8.818,691.406,
8.818,625.977,
9.809,633.789,
10.842,650.391,
10.842,667.969,
11.833,625.000,
11.833,639.648,
12.823,663.086,
13.814,611.328,
13.814,609.375,
14.803,648.438,
15.854,660.156,
15.854,613.281,
16.827,628.906,
17.817,648.438,
17.817,664.063,
18.898,621.094,
18.898,605.469,
19.887,629.883,
20.879,657.227,
20.879,658.203,
21.822,678.711,
22.812,661.133,
23.803,636.719,
23.803,690.430,
24.853,725.586,
25.827,677.734,
25.827,696.289,
26.818,715.820,
27.808,715.820,
27.808,647.461,
28.842,647.461,
29.832,673.828,
29.832,661.133,
30.823,607.422,
31.813,640.625,
31.813,692.383,
32.802,664.063,
33.837,628.906,
33.837,688.477,
34.918,690.430,
35.819,636.719,
35.819,655.273,
36.809,676.758,
36.809,652.344,
37.843,617.188,
38.834,650.391,
38.834,658.203,
39.823,634.766,
40.813,668.945,
40.813,701.172,
41.803,654.297,
42.837,666.016,
42.837,693.359,
43.829,674.805,
44.818,633.789,
44.818,670.898,
45.853,678.711,
46.842,645.508,
46.842,651.367,
47.857,676.758,
48.822,653.320,
48.822,631.836,
49.813,676.758,
50.802,682.617,
50.802,633.789,
51.837,675.781,
52.827,692.383,
52.827,652.344,
53.817,641.602,
54.852,666.992,
54.852,668.945,
55.843,629.883,
56.855,659.180,
56.855,699.219,
57.824,680.664,
58.812,645.508,
58.812,674.805,
59.803,676.758,
60.837,680.664,
60.837,621.094,
61.828,624.023,
61.828,625.977,
62.816,604.492,
63.853,600.586,
63.853,601.563,
64.842,591.797,
64.842,566.406,
65.847,559.570,
66.823,571.289,
66.823,596.680,
67.813,635.742,
67.813,611.328,
68.803,605.469,
69.884,634.766,
69.884,652.344,
70.873,623.047,
71.822,615.234,
71.822,652.344,
72.808,671.875,
73.842,630.859,
73.842,648.438,
74.833,675.781,
74.833,646.484,
75.822,614.258,
76.812,629.883,
76.812,652.344,
77.803,653.320,
78.836,618.164,
78.836,653.320,
79.827,681.641,
80.818,677.734,
80.818,627.930,
81.806,636.719,
82.841,641.602,
82.841,620.117,
83.832,603.516,
84.822,629.883,
84.822,652.344,
85.812,629.883,
85.812,625.977,
86.802,665.039,
87.837,668.945,
87.837,625.977,
88.826,624.023,
89.817,636.719,
89.817,636.719,
90.806,613.281,
90.806,615.234,
91.842,635.742,
92.833,616.211,
92.833,620.117,
93.823,650.391,
94.813,668.945,
94.813,678.711,
95.801,624.023,
95.801,604.492,
96.836,584.961,
97.843,582.031,
97.843,578.125,
98.817,571.289,
99.807,584.961,
99.807,630.859,
100.842,670.898,
100.842,632.813,
101.832,648.438,
102.821,680.664,
102.821,673.828,
103.811,628.906,
104.801,645.508,
104.801,667.969,
105.837,664.063,
106.849,627.930,
106.849,636.719,
107.817,652.344,
108.806,647.461,
108.806,622.070,
109.841,643.555,
110.831,673.828,
110.831,650.391,
111.821,633.789,
112.812,663.086,
112.812,678.711,
113.847,640.625,
113.847,639.648,
114.881,657.227,
115.827,643.555,
115.827,617.188,
116.817,628.906,
117.807,651.367,
117.807,691.406,
118.887,690.430,
119.877,630.859,
119.877,641.602,
120.866,648.438,
121.811,648.438,
121.811,611.328,
122.801,626.953,
122.801,641.602,
123.836,628.906,
124.826,616.211,
124.826,646.484,
125.815,681.641,
126.806,654.297,
126.806,654.297,
127.841,674.805,
128.832,684.570,
128.832,642.578,
129.821,637.695,
130.811,641.602,
130.811,623.047,
131.802,612.305,
131.802,630.859,
132.836,631.836,
133.826,612.305,
133.826,597.656,
134.816,596.680,
134.816,581.055,
135.805,595.703,
136.840,595.703,
136.840,577.148,
137.831,583.008,
137.831,603.516,
138.837,624.023,
139.811,606.445,
139.811,591.797,
140.800,610.352,
140.800,635.742,
141.835,632.813,
142.825,613.281,
142.825,628.906,
143.815,660.156,
144.806,668.945,
144.806,625.000,
145.842,645.508,
146.832,659.180,
146.832,656.250,
147.839,618.164,
148.811,636.719,
148.811,647.461,
149.801,635.742,
150.881,623.047,
150.881,657.227,
151.825,669.922,
151.825,618.164,
152.815,599.609,
153.807,617.188,
153.807,646.484,
154.841,645.508,
155.831,614.258,
155.831,627.930,
156.820,642.578,
156.820,647.461,
157.811,614.258,
158.800,638.672,
158.800,658.203,
159.836,649.414,
160.825,622.070,
160.825,644.531,
161.815,656.250,
162.805,654.297,
162.805,622.070,
163.842,635.742,
164.830,660.156,
164.830,673.828,
165.820,640.625,
166.811,656.250,
166.811,660.156,
167.800,636.719,
167.800,608.398,
168.880,619.141,
169.870,621.094,
169.870,607.422,
170.860,620.117,
170.860,622.070,
171.850,610.352,
172.840,626.953,
172.840,641.602,
173.830,642.578,
173.830,609.375,
174.820,594.727,
175.855,579.102,
175.855,565.430,
176.800,562.500,
176.800,566.406,
177.880,563.477,
178.825,559.570,
178.825,583.984,
179.817,627.930,
179.817,670.898,
180.805,642.578,
181.841,627.930,
182.920,683.594,
182.920,708.984,
183.820,671.875,
184.810,644.531,
184.810,666.016,
185.800,684.570,
185.800,645.508,
186.835,621.094,
187.827,651.367,
187.827,674.805,
188.832,659.180,
189.805,632.813,
189.805,663.086,
190.840,678.711,
191.830,640.625,
191.830,609.375,
192.820,643.555,
193.811,657.227,
193.811,611.328,
194.800,591.797,
194.800,607.422,
195.835,636.719,
196.825,662.109,
196.825,667.969,
197.815,677.734,
198.805,652.344,
198.805,624.023,
199.840,617.188,
199.840,606.445,
200.830,597.656,
201.819,575.195,
201.819,567.383,
202.810,559.570,
202.810,560.547,
203.801,570.313,
203.801,577.148,
204.835,578.125,
205.825,574.219,
205.825,551.758,
206.815,550.781,
206.815,552.734,
207.805,561.523,
207.805,575.195,
208.840,591.797,
209.875,596.680,
209.875,596.680,
210.820,579.102,
210.820,573.242,
211.809,568.359,
211.809,574.219,
212.845,583.008,
213.834,583.984,
213.834,583.008,
214.826,572.266,
214.826,559.570,
